utc	load_1min	leg_cpu	other_cpu	cache_digest	repeats
06:52:16	7.06	390.8	0.0	0d841dd08463a3f5	repeat_00,
06:53:16	9.25	406.4	0.0	0d841dd08463a3f5	repeat_00,
06:54:16	10.29	405.0	1.5	0d841dd08463a3f5	repeat_00,
06:55:16	8.72	400.4	0.1	0d841dd08463a3f5	repeat_00,
06:56:16	7.95	401.4	97.6	0d841dd08463a3f5	repeat_00,
06:57:17	9.56	402.8	0.0	0d841dd08463a3f5	repeat_00,
06:58:17	8.09	402.7	3.0	0d841dd08463a3f5	repeat_00,
06:59:17	7.69	406.7	0.0	0d841dd08463a3f5	repeat_00,
07:00:17	10.09	404.3	0.0	0d841dd08463a3f5	repeat_00,
07:01:17	8.68	394.9	0.0	0d841dd08463a3f5	repeat_00,
07:02:17	7.16	403.3	1.9	0d841dd08463a3f5	repeat_00,
07:03:18	7.54	404.6	0.0	0d841dd08463a3f5	repeat_00,
07:04:18	7.96	406.7	0.0	0d841dd08463a3f5	repeat_00,
07:05:18	10.00	399.4	0.7	0d841dd08463a3f5	repeat_00,
07:06:18	9.43	373.0	0.0	0d841dd08463a3f5	repeat_00,
07:07:19	9.31	352.4	0.0	0d841dd08463a3f5	repeat_00,
07:08:19	10.04	359.3	0.0	0d841dd08463a3f5	repeat_00,
07:09:19	11.91	381.7	7.2	0d841dd08463a3f5	repeat_00,
07:10:19	14.80	381.4	0.0	0d841dd08463a3f5	repeat_00,
07:11:20	11.63	381.3	0.0	0d841dd08463a3f5	repeat_00,
07:12:20	8.27	366.4	94.0	0d841dd08463a3f5	repeat_00,
07:13:20	9.59	381.0	194.0	0d841dd08463a3f5	repeat_00,
07:14:20	9.44	385.7	0.0	0d841dd08463a3f5	repeat_00,
07:15:20	9.91	396.9	0.0	0d841dd08463a3f5	repeat_00,
07:16:21	9.42	398.8	19.1	0d841dd08463a3f5	repeat_00,
07:17:21	12.69	370.7	94.2	0d841dd08463a3f5	repeat_00,
07:18:21	11.08	390.3	98.9	0d841dd08463a3f5	repeat_00,
07:19:21	9.88	348.8	98.2	0d841dd08463a3f5	repeat_00,
07:20:21	8.16	402.8	0.0	0d841dd08463a3f5	repeat_00,
07:21:22	8.19	406.0	0.0	0d841dd08463a3f5	repeat_00,
07:22:22	7.61	406.7	0.0	0d841dd08463a3f5	repeat_00,
07:23:22	6.62	406.7	3.3	0d841dd08463a3f5	repeat_00,
07:24:22	7.12	393.5	0.9	0d841dd08463a3f5	repeat_00,
07:25:22	7.30	403.6	0.0	0d841dd08463a3f5	repeat_00,
07:26:23	8.24	398.7	81.8	0d841dd08463a3f5	repeat_00,
07:27:23	9.35	405.3	13.2	0d841dd08463a3f5	repeat_00,
07:28:23	11.91	404.2	0.0	0d841dd08463a3f5	repeat_00,
07:29:23	9.37	399.2	88.1	0d841dd08463a3f5	repeat_00,repeat_01,
07:30:23	8.78	403.1	0.4	0d841dd08463a3f5	repeat_00,repeat_01,
07:31:24	7.85	397.4	26.2	0d841dd08463a3f5	repeat_00,repeat_01,
07:32:24	10.60	395.7	0.0	0d841dd08463a3f5	repeat_00,repeat_01,
07:33:24	12.57	402.6	0.0	0d841dd08463a3f5	repeat_00,repeat_01,
07:34:24	9.96	392.9	98.5	0d841dd08463a3f5	repeat_00,repeat_01,
07:35:24	10.98	380.4	86.5	0d841dd08463a3f5	repeat_00,repeat_01,
07:36:25	10.08	385.7	135.0	0d841dd08463a3f5	repeat_00,repeat_01,
07:37:25	9.64	380.7	134.4	0d841dd08463a3f5	repeat_00,repeat_01,
07:38:25	11.00	375.8	133.4	0d841dd08463a3f5	repeat_00,repeat_01,
07:39:25	10.71	379.4	135.0	0d841dd08463a3f5	repeat_00,repeat_01,
07:40:25	11.10	385.5	136.4	0d841dd08463a3f5	repeat_00,repeat_01,
07:41:26	10.33	385.3	137.8	38533a3f5d27cb68	repeat_00,repeat_01,
07:42:26	9.29	377.5	135.1	38533a3f5d27cb68	repeat_00,repeat_01,
07:43:26	8.88	390.5	140.3	38533a3f5d27cb68	repeat_00,repeat_01,
07:44:26	9.03	386.0	262.5	24d786f5b92d120d	repeat_00,repeat_01,
07:45:27	9.79	347.1	239.9	24d786f5b92d120d	repeat_00,repeat_01,
07:46:27	13.85	289.3	430.4	24d786f5b92d120d	repeat_00,repeat_01,
07:47:28	17.38	340.2	381.9	24d786f5b92d120d	repeat_00,repeat_01,
07:48:28	16.23	336.0	222.2	24d786f5b92d120d	repeat_00,repeat_01,
07:49:28	19.33	320.1	536.5	24d786f5b92d120d	repeat_00,repeat_01,
07:50:29	18.18	286.1	177.6	24d786f5b92d120d	repeat_00,repeat_01,
07:51:29	20.20	306.6	500.3	24d786f5b92d120d	repeat_00,repeat_01,
07:52:29	22.48	327.0	276.3	24d786f5b92d120d	repeat_00,repeat_01,
07:53:32	29.28	190.3	187.0	24d786f5b92d120d	repeat_00,repeat_01,
07:54:33	24.24	240.8	500.8	24d786f5b92d120d	repeat_00,repeat_01,
07:55:35	29.58	143.2	757.4	24d786f5b92d120d	repeat_00,repeat_01,
07:56:39	25.38	217.9	169.7	24d786f5b92d120d	repeat_00,repeat_01,
