utc	load_1min	leg_cpu	other_cpu	cache_digest	repeats
09:02:45	7.00	372.5	242.1	24d786f5b92d120d	repeat_00,
09:03:45	6.80	401.5	104.2	24d786f5b92d120d	repeat_00,
09:04:46	7.56	404.1	13.1	24d786f5b92d120d	repeat_00,
09:05:46	9.59	400.9	100.8	24d786f5b92d120d	repeat_00,
09:06:46	7.94	371.1	45.0	24d786f5b92d120d	repeat_00,
09:07:46	13.14	364.3	29.9	24d786f5b92d120d	repeat_00,
09:08:46	12.49	338.7	323.9	24d786f5b92d120d	repeat_00,
09:09:47	12.82	351.1	366.6	24d786f5b92d120d	repeat_00,
09:10:47	11.53	339.5	475.5	24d786f5b92d120d	repeat_00,
09:11:47	14.72	324.1	778.6	24d786f5b92d120d	repeat_00,
09:12:47	15.34	340.8	634.8	24d786f5b92d120d	repeat_00,
09:13:48	14.68	338.9	641.1	24d786f5b92d120d	repeat_00,
09:14:48	14.05	361.6	543.0	24d786f5b92d120d	repeat_00,
09:15:48	15.52	325.2	594.0	24d786f5b92d120d	repeat_00,
09:16:48	16.26	324.3	556.3	24d786f5b92d120d	repeat_00,
09:17:49	19.21	314.9	657.0	24d786f5b92d120d	repeat_00,
09:18:49	21.60	256.8	422.7	24d786f5b92d120d	repeat_00,
09:19:49	18.75	322.0	695.9	24d786f5b92d120d	repeat_00,
09:20:49	16.48	346.9	409.1	24d786f5b92d120d	repeat_00,
09:21:50	17.25	340.7	525.1	24d786f5b92d120d	repeat_00,
09:22:50	16.89	333.1	727.8	24d786f5b92d120d	repeat_00,
09:23:50	15.20	356.6	421.2	24d786f5b92d120d	repeat_00,
09:24:50	13.10	353.6	596.7	24d786f5b92d120d	repeat_00,
09:25:50	11.30	368.0	398.7	24d786f5b92d120d	repeat_00,
09:26:51	10.11	364.0	558.8	24d786f5b92d120d	repeat_00,
09:27:51	15.91	324.8	760.0	24d786f5b92d120d	repeat_00,
09:28:51	17.89	333.9	675.4	24d786f5b92d120d	repeat_00,
09:29:51	19.81	330.5	601.2	24d786f5b92d120d	repeat_00,
09:30:52	18.17	332.8	693.6	24d786f5b92d120d	repeat_00,
09:31:52	15.83	335.7	566.0	24d786f5b92d120d	repeat_00,
09:32:52	16.67	322.4	573.7	24d786f5b92d120d	repeat_00,
09:33:52	16.91	343.1	589.4	24d786f5b92d120d	repeat_00,
09:34:53	15.35	323.5	746.5	24d786f5b92d120d	repeat_00,
09:35:53	15.85	341.0	697.8	24d786f5b92d120d	repeat_00,
