utc	load_1min	leg_cpu	other_cpu	cache_digest	repeats	spin_cpu
11:08:04	8.57	386.6	301.0	68135fe7ceada07c	repeat_00,	196.6
11:09:05	9.15	396.1	285.7	68135fe7ceada07c	repeat_00,	198.4
11:10:05	9.43	385.7	296.1	68135fe7ceada07c	repeat_00,	198.5
11:11:05	9.99	384.7	412.6	68135fe7ceada07c	repeat_00,	197.8
11:12:05	10.68	388.2	292.0	68135fe7ceada07c	repeat_00,	198.4
11:13:06	8.77	391.6	310.2	68135fe7ceada07c	repeat_00,	197.0
11:14:06	7.71	375.6	299.3	68135fe7ceada07c	repeat_00,	196.9
11:15:06	9.23	388.1	293.3	68135fe7ceada07c	repeat_00,	198.0
11:16:06	10.83	389.8	199.2	68135fe7ceada07c	repeat_00,	199.2
11:17:06	8.71	383.6	297.9	68135fe7ceada07c	repeat_00,	198.4
11:18:07	7.72	388.7	203.8	68135fe7ceada07c	repeat_00,	198.8
11:19:07	8.07	383.7	295.2	68135fe7ceada07c	repeat_00,	197.8
11:20:07	8.09	386.5	208.5	68135fe7ceada07c	repeat_00,	197.6
11:21:07	6.95	384.7	195.7	68135fe7ceada07c	repeat_00,	195.7
11:22:08	7.52	387.1	299.4	68135fe7ceada07c	repeat_00,	196.6
11:23:08	10.32	390.4	199.3	68135fe7ceada07c	repeat_00,	199.3
11:24:08	10.78	394.5	201.6	68135fe7ceada07c	repeat_00,	198.0
11:25:08	9.18	388.9	199.8	68135fe7ceada07c	repeat_00,	197.0
11:26:09	8.42	384.6	208.5	68135fe7ceada07c	repeat_00,	198.4
11:27:09	9.15	385.4	196.1	68135fe7ceada07c	repeat_00,	195.7
11:28:09	8.20	387.7	203.3	68135fe7ceada07c	repeat_00,	199.1
11:29:09	9.37	386.8	202.7	68135fe7ceada07c	repeat_00,	197.6
11:30:10	9.28	389.0	200.6	68135fe7ceada07c	repeat_00,	199.5
11:31:10	9.72	392.8	300.4	68135fe7ceada07c	repeat_00,	199.3
11:32:10	8.89	386.2	285.4	68135fe7ceada07c	repeat_00,	197.2
11:33:10	9.55	378.5	287.6	68135fe7ceada07c	repeat_00,	197.4
11:34:11	8.42	387.9	231.1	68135fe7ceada07c	repeat_00,	198.2
11:35:11	8.85	389.2	227.4	68135fe7ceada07c	repeat_00,	197.9
11:36:11	8.78	374.1	198.3	68135fe7ceada07c	repeat_00,	197.8
11:37:11	8.66	388.2	231.6	68135fe7ceada07c	repeat_00,	196.0
11:38:12	10.13	393.8	198.1	68135fe7ceada07c	repeat_00,	197.8
11:39:12	9.01	392.6	214.1	68135fe7ceada07c	repeat_00,	197.8
11:40:12	10.71	393.0	197.9	68135fe7ceada07c	repeat_00,	197.0
11:41:12	9.34	375.9	298.6	68135fe7ceada07c	repeat_00,	198.6
11:42:13	9.93	390.1	200.0	68135fe7ceada07c	repeat_00,	197.3
11:43:13	8.44	390.0	201.6	68135fe7ceada07c	repeat_00,	197.7
11:44:13	8.99	393.0	215.0	68135fe7ceada07c	repeat_00,	196.6
11:45:13	8.31	393.3	199.6	68135fe7ceada07c	repeat_00,	199.6
11:46:14	10.68	485.3	203.2	68135fe7ceada07c	repeat_00,	196.0
11:47:14	10.73	390.1	204.6	68135fe7ceada07c	repeat_00,repeat_01,	200.0
11:48:14	10.92	395.8	217.0	68135fe7ceada07c	repeat_00,repeat_01,	198.4
11:49:14	9.85	392.7	300.0	68135fe7ceada07c	repeat_00,repeat_01,	198.1
11:50:14	10.00	394.5	214.3	68135fe7ceada07c	repeat_00,repeat_01,	197.6
11:51:15	9.80	389.5	201.8	68135fe7ceada07c	repeat_00,repeat_01,	197.4
11:52:15	9.94	393.7	194.9	68135fe7ceada07c	repeat_00,repeat_01,	194.9
11:53:15	9.91	395.3	201.7	68135fe7ceada07c	repeat_00,repeat_01,	198.1
11:54:15	9.37	395.1	201.8	68135fe7ceada07c	repeat_00,repeat_01,	197.2
11:55:16	9.95	396.1	197.0	68135fe7ceada07c	repeat_00,repeat_01,	197.0
11:56:16	10.99	393.3	198.9	68135fe7ceada07c	repeat_00,repeat_01,	197.8
11:57:16	8.99	389.7	301.9	68135fe7ceada07c	repeat_00,repeat_01,	195.4
11:58:16	10.16	385.8	298.5	68135fe7ceada07c	repeat_00,repeat_01,	199.4
11:59:17	10.14	391.3	298.8	68135fe7ceada07c	repeat_00,repeat_01,	198.7
12:00:17	11.08	389.4	298.2	68135fe7ceada07c	repeat_00,repeat_01,	199.3
12:01:17	12.97	392.5	199.4	68135fe7ceada07c	repeat_00,repeat_01,	199.4
12:02:17	10.66	388.2	295.6	68135fe7ceada07c	repeat_00,repeat_01,	197.6
12:03:17	9.36	394.5	204.1	68135fe7ceada07c	repeat_00,repeat_01,	198.8
12:04:18	8.94	391.9	198.7	68135fe7ceada07c	repeat_00,repeat_01,	197.7
12:05:18	7.56	390.4	230.7	68135fe7ceada07c	repeat_00,repeat_01,	198.1
12:06:18	9.02	388.9	200.2	68135fe7ceada07c	repeat_00,repeat_01,	198.4
12:07:18	8.96	391.6	200.1	68135fe7ceada07c	repeat_00,repeat_01,	199.3
12:08:19	9.90	392.4	221.1	68135fe7ceada07c	repeat_00,repeat_01,	199.3
12:09:19	9.12	393.5	200.8	68135fe7ceada07c	repeat_00,repeat_01,	198.4
12:10:19	9.20	396.6	200.1	68135fe7ceada07c	repeat_00,repeat_01,	197.1
12:11:19	8.55	390.1	298.1	68135fe7ceada07c	repeat_00,repeat_01,	198.4
12:12:20	9.98	395.2	210.8	68135fe7ceada07c	repeat_00,repeat_01,	196.5
12:13:20	10.33	396.1	197.8	68135fe7ceada07c	repeat_00,repeat_01,	197.4
12:14:20	10.46	386.2	306.8	68135fe7ceada07c	repeat_00,repeat_01,	198.6
12:15:20	9.92	392.0	199.7	68135fe7ceada07c	repeat_00,repeat_01,	198.0
12:16:20	9.35	395.0	197.7	68135fe7ceada07c	repeat_00,repeat_01,	197.5
12:17:21	11.23	393.4	204.3	68135fe7ceada07c	repeat_00,repeat_01,	198.8
12:18:21	9.48	386.1	298.9	68135fe7ceada07c	repeat_00,repeat_01,	198.1
12:19:21	9.89	393.7	225.9	68135fe7ceada07c	repeat_00,repeat_01,	198.1
12:20:21	10.12	391.3	200.2	68135fe7ceada07c	repeat_00,repeat_01,	197.8
12:21:22	10.74	394.4	217.2	68135fe7ceada07c	repeat_00,repeat_01,	197.7
12:22:22	8.73	394.4	199.5	68135fe7ceada07c	repeat_00,repeat_01,	197.9
12:23:22	7.27	381.2	296.3	68135fe7ceada07c	repeat_00,repeat_01,	197.0
