utc	load_1min	leg_cpu	other_cpu	cache_digest	repeats	spin_cpu
14:58:52	3.89	392.6	196.8	68135fe7ceada07c	repeat_00,	198.1
14:59:52	5.34	390.0	199.3	68135fe7ceada07c	repeat_00,	199.3
15:00:53	6.58	385.6	289.0	68135fe7ceada07c	repeat_00,	197.8
15:01:53	7.94	390.5	198.6	68135fe7ceada07c	repeat_00,	198.3
15:02:53	6.96	387.8	201.4	68135fe7ceada07c	repeat_00,	197.5
15:03:53	6.63	389.6	298.9	68135fe7ceada07c	repeat_00,	199.4
15:04:54	7.11	391.4	197.0	68135fe7ceada07c	repeat_00,	197.5
15:05:54	9.49	389.5	198.4	68135fe7ceada07c	repeat_00,	198.4
15:06:54	9.05	388.9	199.5	68135fe7ceada07c	repeat_00,	197.8
15:07:54	9.83	388.1	202.3	68135fe7ceada07c	repeat_00,	199.1
15:08:54	8.65	388.3	200.0	68135fe7ceada07c	repeat_00,	200.0
15:09:55	7.15	390.6	196.9	68135fe7ceada07c	repeat_00,	196.9
15:10:55	8.81	390.4	299.4	68135fe7ceada07c	repeat_00,	200.0
15:11:55	8.16	389.4	277.4	68135fe7ceada07c	repeat_00,	197.3
15:12:55	7.81	389.7	296.6	68135fe7ceada07c	repeat_00,	197.8
15:13:56	10.55	390.7	213.9	68135fe7ceada07c	repeat_00,	197.6
15:14:56	9.78	381.7	394.3	68135fe7ceada07c	repeat_00,	197.3
15:15:56	7.57	392.3	199.3	68135fe7ceada07c	repeat_00,	198.2
15:16:56	8.18	392.3	198.4	68135fe7ceada07c	repeat_00,	198.4
15:17:56	8.49	381.3	399.5	68135fe7ceada07c	repeat_00,	198.6
15:18:57	9.21	392.9	199.9	68135fe7ceada07c	repeat_00,	199.9
15:19:57	7.82	390.0	198.3	68135fe7ceada07c	repeat_00,	198.3
15:20:57	7.45	390.0	200.0	68135fe7ceada07c	repeat_00,	197.7
15:21:57	8.26	391.6	197.3	68135fe7ceada07c	repeat_00,	197.3
15:22:58	8.78	384.8	307.5	68135fe7ceada07c	repeat_00,	197.1
15:23:58	8.09	393.3	199.3	68135fe7ceada07c	repeat_00,	199.0
15:24:58	7.51	391.2	198.3	68135fe7ceada07c	repeat_00,	197.8
15:25:58	9.12	380.0	298.4	68135fe7ceada07c	repeat_00,	199.2
15:26:59	9.29	389.6	230.2	68135fe7ceada07c	repeat_00,	197.6
15:27:59	8.35	388.8	198.4	68135fe7ceada07c	repeat_00,	198.4
15:28:59	9.86	370.2	206.0	68135fe7ceada07c	repeat_00,	194.4
15:29:59	9.78	391.7	197.9	68135fe7ceada07c	repeat_00,	198.8
15:31:00	8.95	376.0	196.3	68135fe7ceada07c	repeat_00,	195.4
15:32:00	10.49	393.5	207.1	68135fe7ceada07c	repeat_00,	197.9
15:33:00	12.17	387.0	195.5	68135fe7ceada07c	repeat_00,	195.6
15:34:00	10.67	390.2	196.4	68135fe7ceada07c	repeat_00,	196.4
15:35:01	9.34	388.2	197.4	68135fe7ceada07c	repeat_00,	197.4
15:36:01	10.76	389.8	198.1	68135fe7ceada07c	repeat_00,	197.6
15:37:01	10.11	392.3	197.2	68135fe7ceada07c	repeat_00,	198.0
15:38:01	11.06	389.4	196.4	68135fe7ceada07c	repeat_00,repeat_01,	195.8
