utc	load_1min	leg_cpu	other_cpu	repeats
04:05:29	13.60	322.1	253.2	repeat_00,
04:06:29	12.67	370.4	119.6	repeat_00,
04:07:29	10.45	375.2	194.6	repeat_00,
04:08:30	10.30	354.9	176.6	repeat_00,
04:09:30	11.24	392.1	99.1	repeat_00,
04:10:30	11.55	348.8	95.0	repeat_00,
04:11:30	11.39	392.3	103.0	repeat_00,
04:12:30	9.83	398.4	186.6	repeat_00,repeat_01,
04:13:31	11.37	390.6	222.1	repeat_00,repeat_01,
04:14:31	11.45	393.3	197.2	repeat_00,repeat_01,
04:15:31	11.96	393.3	97.5	repeat_00,repeat_01,
04:16:31	11.53	401.1	100.1	repeat_00,repeat_01,
04:17:31	11.87	380.2	98.8	repeat_00,repeat_01,
04:18:31	10.50	395.9	98.8	repeat_00,repeat_01,
04:19:32	10.85	394.3	0.0	repeat_00,repeat_01,
04:20:32	9.45	388.6	119.9	repeat_00,repeat_01,
04:21:32	10.91	397.0	124.1	repeat_00,repeat_01,
04:22:32	13.30	376.9	115.0	repeat_00,repeat_01,
04:23:32	13.53	394.7	0.2	repeat_00,repeat_01,
04:24:33	12.31	393.2	57.1	repeat_00,repeat_01,
04:25:33	8.84	389.1	0.0	repeat_00,repeat_01,
04:26:33	8.68	395.6	0.0	repeat_00,repeat_01,
04:27:33	10.13	394.2	0.0	repeat_00,repeat_01,
04:28:33	11.20	395.4	0.0	repeat_00,repeat_01,
04:29:34	9.24	369.8	0.1	repeat_00,repeat_01,
04:30:34	8.93	391.7	24.5	repeat_00,repeat_01,
04:31:34	8.12	396.3	0.0	repeat_00,repeat_01,
04:32:34	7.53	394.3	0.0	repeat_00,repeat_01,
04:33:34	8.94	386.4	1.7	repeat_00,repeat_01,
04:34:34	9.02	386.9	0.0	repeat_00,repeat_01,
04:35:35	8.92	369.1	0.0	repeat_00,repeat_01,
04:36:35	9.43	362.3	0.3	repeat_00,repeat_01,
04:37:35	8.04	393.5	0.0	repeat_00,repeat_01,
04:38:35	10.22	379.6	0.0	repeat_00,repeat_01,
04:39:35	8.64	370.7	0.0	repeat_00,repeat_01,
04:40:36	8.25	381.7	4.8	repeat_00,repeat_01,
04:41:36	10.29	394.1	0.0	repeat_00,repeat_01,
04:42:36	10.08	397.6	0.0	repeat_00,repeat_01,
04:43:36	8.82	386.6	0.1	repeat_00,repeat_01,
04:44:36	9.39	378.3	19.5	repeat_00,repeat_01,
04:45:36	10.28	374.8	0.0	repeat_00,repeat_01,
04:46:37	10.21	384.2	0.0	repeat_00,repeat_01,
04:47:37	9.47	395.9	34.2	repeat_00,repeat_01,
04:48:37	8.62	393.3	0.0	repeat_00,repeat_01,
04:49:37	7.85	395.2	0.0	repeat_00,repeat_01,
04:50:38	9.83	479.2	4.4	repeat_00,repeat_01,
