utc	load_1min	leg_cpu	other_cpu	cache_digest	repeats
04:54:43	7.56	385.6	29.1	0d841dd08463a3f5	repeat_00,
04:55:43	9.71	378.9	0.0	0d841dd08463a3f5	repeat_00,
04:56:43	10.51	362.8	0.0	0d841dd08463a3f5	repeat_00,
04:57:43	10.53	395.3	1.5	0d841dd08463a3f5	repeat_00,
04:58:44	8.54	404.2	0.0	0d841dd08463a3f5	repeat_00,
04:59:44	9.40	391.3	0.0	0d841dd08463a3f5	repeat_00,
05:00:44	11.48	401.0	0.0	0d841dd08463a3f5	repeat_00,
05:01:44	11.47	390.5	7.8	0d841dd08463a3f5	repeat_00,
05:02:44	11.65	396.3	0.0	0d841dd08463a3f5	repeat_00,
05:03:45	10.16	400.4	0.0	0d841dd08463a3f5	repeat_00,
05:04:45	12.30	400.5	0.3	0d841dd08463a3f5	repeat_00,
05:05:45	13.38	400.4	0.0	0d841dd08463a3f5	repeat_00,
05:06:45	11.79	394.2	0.0	0d841dd08463a3f5	repeat_00,
05:07:46	10.85	403.3	0.0	0d841dd08463a3f5	repeat_00,
05:08:46	10.50	397.1	3.0	0d841dd08463a3f5	repeat_00,
05:09:46	9.44	400.5	0.0	0d841dd08463a3f5	repeat_00,
05:10:46	7.13	399.7	0.0	0d841dd08463a3f5	repeat_00,
05:11:46	6.81	394.6	0.0	0d841dd08463a3f5	repeat_00,
05:12:46	7.48	396.1	2.1	0d841dd08463a3f5	repeat_00,
05:13:47	8.43	400.2	0.0	0d841dd08463a3f5	repeat_00,
05:14:47	10.00	391.8	0.0	0d841dd08463a3f5	repeat_00,
05:15:47	8.66	399.4	0.0	0d841dd08463a3f5	repeat_00,
05:16:47	9.81	402.8	12.3	0d841dd08463a3f5	repeat_00,
05:17:47	10.67	399.7	0.0	0d841dd08463a3f5	repeat_00,
05:18:48	10.11	405.4	0.0	0d841dd08463a3f5	repeat_00,
05:19:48	10.85	367.7	0.3	0d841dd08463a3f5	repeat_00,
05:20:48	10.38	405.4	23.1	0d841dd08463a3f5	repeat_00,
05:21:48	10.08	407.7	0.0	0d841dd08463a3f5	repeat_00,
05:22:48	10.59	402.9	0.0	0d841dd08463a3f5	repeat_00,
05:23:49	10.22	399.8	2.8	0d841dd08463a3f5	repeat_00,
05:24:49	9.19	398.5	0.0	0d841dd08463a3f5	repeat_00,
05:25:49	7.76	403.0	0.0	0d841dd08463a3f5	repeat_00,
05:26:49	8.92	402.0	0.0	0d841dd08463a3f5	repeat_00,
05:27:49	9.78	406.4	0.2	0d841dd08463a3f5	repeat_00,
05:28:49	8.65	400.0	0.0	0d841dd08463a3f5	repeat_00,
05:29:50	9.89	410.9	0.0	0d841dd08463a3f5	repeat_00,
05:30:50	11.47	408.5	0.0	0d841dd08463a3f5	repeat_00,
05:31:50	10.77	400.8	0.4	0d841dd08463a3f5	repeat_00,repeat_01,
05:32:50	9.07	405.3	0.0	0d841dd08463a3f5	repeat_00,repeat_01,
05:33:50	8.33	412.5	0.0	0d841dd08463a3f5	repeat_00,repeat_01,
05:34:51	8.35	403.8	0.0	0d841dd08463a3f5	repeat_00,repeat_01,
05:35:51	10.00	399.6	0.7	0d841dd08463a3f5	repeat_00,repeat_01,
05:36:51	9.02	388.8	0.0	0d841dd08463a3f5	repeat_00,repeat_01,
05:37:51	10.01	373.4	0.0	0d841dd08463a3f5	repeat_00,repeat_01,
05:38:51	11.13	369.8	0.0	0d841dd08463a3f5	repeat_00,repeat_01,
05:39:52	10.43	395.7	5.6	0d841dd08463a3f5	repeat_00,repeat_01,
05:40:52	7.84	388.5	0.0	0d841dd08463a3f5	repeat_00,repeat_01,
05:41:52	10.47	392.2	0.0	0d841dd08463a3f5	repeat_00,repeat_01,
05:42:52	11.86	375.4	0.6	0d841dd08463a3f5	repeat_00,repeat_01,
05:43:52	12.04	368.3	0.0	0d841dd08463a3f5	repeat_00,repeat_01,
05:44:53	10.48	387.5	0.0	0d841dd08463a3f5	repeat_00,repeat_01,
05:45:53	8.20	388.1	0.5	0d841dd08463a3f5	repeat_00,repeat_01,
05:46:53	9.16	395.3	0.0	0d841dd08463a3f5	repeat_00,repeat_01,
05:47:53	8.49	394.6	0.0	0d841dd08463a3f5	repeat_00,repeat_01,
05:48:53	7.77	391.1	0.0	0d841dd08463a3f5	repeat_00,repeat_01,
05:49:54	10.28	392.9	12.0	0d841dd08463a3f5	repeat_00,repeat_01,
05:50:54	11.32	382.7	0.0	0d841dd08463a3f5	repeat_00,repeat_01,
05:51:54	8.81	341.7	0.0	0d841dd08463a3f5	repeat_00,repeat_01,
05:52:54	10.02	381.1	19.1	0d841dd08463a3f5	repeat_00,repeat_01,
05:53:55	10.65	361.1	216.8	0d841dd08463a3f5	repeat_00,repeat_01,
05:54:55	9.34	359.3	155.5	0d841dd08463a3f5	repeat_00,repeat_01,
05:55:55	10.16	378.9	147.1	0d841dd08463a3f5	repeat_00,repeat_01,
05:56:55	8.56	385.7	0.0	0d841dd08463a3f5	repeat_00,repeat_01,
05:57:56	8.94	378.1	122.4	0d841dd08463a3f5	repeat_00,repeat_01,
05:58:56	11.44	370.2	215.7	0d841dd08463a3f5	repeat_00,repeat_01,
05:59:56	12.57	345.1	94.6	0d841dd08463a3f5	repeat_00,repeat_01,
06:00:56	12.21	381.7	4.6	0d841dd08463a3f5	repeat_00,repeat_01,
06:01:57	9.57	379.0	5.2	0d841dd08463a3f5	repeat_00,repeat_01,
06:02:57	10.21	390.2	0.0	0d841dd08463a3f5	repeat_00,repeat_01,
06:03:57	11.08	387.5	0.0	0d841dd08463a3f5	repeat_00,repeat_01,
